video_id,comment_id,parent_id,author_channel_id,author_display_name,text,like_count,reply_count,published_at,is_reply,niche
mGMjmmjojBA,Ugx7pbASjyDghGBgKu14AaABAg,,UCnxI4VNgGY1gEBIuU7KLKIg,@GlazedT,"Basically, the Radiants play without headphones, and the Bronzes play with professional audio equipment that allows them to hear into the future.",0,1,2025-08-04T23:14:06Z,False,valorant
v2uMRyYZJ3Q,Ugzbslmdef5KOwRB8m54AaABAg,,UC4A-BEdnbxFbpsoCz89JMKQ,@banmark.gaming,Bro which software u use to record,0,1,2025-01-03T20:56:24Z,False,valorant
bmFcX9D_Eh8,UgwQ-coP1GSzFHcJYL54AaABAg,,UCiNaqftJs-R34COy8p-4kyA,@kiriamv,nice video kardesim,0,0,2024-12-16T13:02:41Z,False,valorant
zniikXNIIpE,UgyAjmrrYFc8RDyzqLt4AaABAg,,UCLTbJghp8w9Ogt5EoVE66vw,@OLIXYT_23,Can you show you scuff controller settings like back paddles and joysticks ex..❤❤❤,0,1,2026-04-14T03:55:35Z,False,valorant
8cKnsC2lOcI,UgxSFeHQI9s5LH-KAl54AaABAg,,UCYYHdB8tTHgPW88lJmwy7_A,@haktann9,"Good job brother, I appreciate it. I also want to play like that one day.",18,2,2025-07-04T17:24:30Z,False,valorant
PRCYWVYhJmM,UgzzSdEuGDLCkidxbDZ4AaABAg,,UCfv31o91OR4jkZH4GW4DT4w,@ConnerPlayz-iy7uk,"1:24 .01!!! I’ve never seen that

Edit; 2 IN A ROW!!!

Edit: 3 .01 OMG I KEEP GETTING BAITED",0,0,2026-05-05T01:08:27Z,False,valorant
k6YT0G4FK78,Ugx3n6rUrpkcwyn7wgF4AaABAg,,UC8fUMbmwAbd_XC32CdqyRCQ,@tennō44,wolves have fur ahh title,0,0,2026-04-15T20:30:15Z,False,valorant
bmFcX9D_Eh8,UgxCle5qDFkSuU2J7AB4AaABAg,,UCM_MttoIwrhlOaClb7YY7oQ,@Zer0x180,ns vid ❤,0,0,2025-04-07T22:22:50Z,False,valorant
zniikXNIIpE,UgxlCVZkHZQwM9z1Vpp4AaABAg.AVVx6vSy9TBAV_H6XT_TBe,UgxlCVZkHZQwM9z1Vpp4AaABAg,UChg1fS_aqtuZafGWcwm7Qbw,@brokernagy9038,Not settings.. u  dont better..,0,0,2026-04-14T08:42:30Z,True,valorant
IJdbjEi4OvQ,UgwHmTgXT2rujZ6Z4mF4AaABAg,,UCnYL-2CYECnUO0CwwXOwJbw,@acholaco0,My goat is back,0,0,2026-04-16T06:31:19Z,False,valorant
nCKmGW3vYa8,UgzR7FX70Ktr-_wX7C14AaABAg,,UCjKkeYPOdQFdFjx9heRgJlw,@henonicks,"0:34 ngl he doesn't look evil, he looks cute",7,0,2025-04-02T08:07:36Z,False,valorant
v2uMRyYZJ3Q,UgyFsi4_qgHluNlx4Op4AaABAg.ACkkOalY7M-AClGsE_YrdQ,UgyFsi4_qgHluNlx4Op4AaABAg,UCKeVxi9ezkyp3mbuHjR4KSw,@Narwax,You too! 😁,1,0,2025-01-01T18:34:48Z,True,valorant
QQYKN5MWFyU,UgzdFJ93xyeKX-wCBhR4AaABAg,,UC0sDmfy5skhjyaNxo2hX1Tw,@Gamagoldstar,How do you get your PC tempered glass so dark,0,0,2022-09-20T21:16:24Z,False,valorant
441tMwoFSeE,UgzaZResgHyeNXHY0Wx4AaABAg,,UCIiC_w27sq35OIshyEDestg,@remaain,crosshair code?,0,0,2025-05-28T10:57:00Z,False,valorant
k6YT0G4FK78,Ugzfr7scmENdkQpbMI54AaABAg.AVgkMSIyVxjAVsH1Dxi-9g,Ugzfr7scmENdkQpbMI54AaABAg,UC1k0mkdPUH7dz2135g3sATg,@idk_whoz,9/11? bro what,0,0,2026-04-21T17:47:21Z,True,valorant
8cKnsC2lOcI,Ugz82mqjFbHWJ-1lw4d4AaABAg,,UCp7B89C2siIW0js7lXza9Cw,@HieuNguyen-ts1bo,what recording software u use?,0,0,2025-07-14T15:30:14Z,False,valorant
GlW8KmJaRvk,Ugx5xL73myCGlaQDFe54AaABAg,,UCCuq9Q1o7XlbioQGzHyIj6Q,@suryanshpranavprashar6303,Bro some iron players are actually good ❤❤,2,0,2024-10-07T11:47:16Z,False,valorant
UKJeCLrLEKg,Ugyu0UeREl8j5uCFJGx4AaABAg,,UC9ik_vdqto7pFJLKO1N_ItA,@TTV_gtah4129,Hey Temet first time commenting just wondered if you got invited to team Envy would you join?,1,0,2026-02-28T22:39:26Z,False,valorant
