channel_id,channel_title,subscriber_count,video_count,view_count_total
UCUC289PTdKvx4c1D8Nad_8Q,Js2ngaming ,44400,230,13623754
UCTdHdqkhntBprwOMBknO-Sg,kunal,167000,390,69850229
UC5Svxlo8tWixGJp_LWAviHw,Sepid of Persia,24400,409,3051913
UC6RBXQeIq7YSpHe9HIxAbPw,Saintsfan,1510000,5592,565462779
UCJbbYCOu7LU2MoFpJKtNK1Q,Mikey Maizen - Minecraft,345000,676,128194131
UCsO7dKXIQpqoiItc2QB5hTw,shadro,5040,577,1007546
UC2ZbCrVziL1uSzyjnHGycuw,zWillyx,291000,1699,80617681
UCbnWwkNw6kS_h3gIH2J2YGQ,YSP GAMER XD,25600,24,4317549
UCjRkTl_HP4zOh3UFaThgRZw,SidemenReacts,5840000,1651,3572143121
UCHdMK5Ef2El8KbD3L_WgANg,Slogo,11700000,7522,9496770810
UC0PMQXAwF6O6aeTpv962miA,MrBossFTW,3190000,9319,1675971188
UCWqlr0TNvdFl7sv6zHR8IvA,Maizen - Minecraft Family,226000,448,102939204
UCAXvBOa6vJIXQ5xc-w0_DUg,Mr STUD SUJEET,24700,1406,19218198
UCTnJKbo-2kW1B7L_doko5iQ,s0m,411000,910,212189402
UCxjdy5n9BxX_6RTL8Dt_7pg,Kyedae,1460000,267,378678510
UCwj_XFTwYLt7IXwFtEru4Ew,BionicLMAO,1800000,268,458715199
UCAfv_IWzruI7SadZGpg-xMw,Blazzy,701000,163,220709509
UC4zMEl8Qh_nE5nDnp0cxRFQ,Gtamen,220000,2666,85997828
UCJZam2u1G0syq3kyqrCXrNw,PrestonPlayz,17400000,1182,8258161330
UCJS4UHGP6Q3BI-0ZIGrGXgw,Junkeyy,3230000,395,880258240
UCccICd2SaHTTHlFwwWOMXHQ,root,138000,18,12715140
UCpqXJOEqGS-TCnazcHCo0rA,theRadBrad,13900000,9015,6632565077
UCa-QpckLkgzFzG00Tqjsbnw,Lan - GTA 6 Central,15600,788,2984408
UCmVhkn3V5He-ONb4wUNRcwg,ZerkaaReacts,547000,920,118720705
UC3fxPQvy13-JkDRO_px7NTA,Rich Plays,355000,35,24468816
UCTyg-vQ70A1m0lB1cLbu38Q,Mc flame,2640000,520,696439502
UCigQP10VTaXEtOgXh0A-btg,RockStar Games Music,15600,1710,3814561
UCRAUb_MoLdfcoy3-ioOxHDQ,SirMeow,55300,44,12809246
UCc3ZIO9JNiyGgMA6zyEhRrA,xara,1710,103,229182
UCIfeB6kJ4Yl3CLjFWFi_ZYA,kizati,19900,255,4792940
UCIDqe-_eJxCqY_AEJJ1mREA,Isot,95700,127,16324180
UCfasCqspfwPp9e8aX7h0sYA,Joseph Witty,29200,1927,5603917
UC0NxD1zHXAgtbbxWs_xKM2A,Shawarma - Minecraft,96500,41,35457614
UCr4kgAUTFkGIwlWSodg43QA,Michael Knowles,2590000,9191,1359611260
UCMSB8IYCWuA0vR2aphUeTZg,Cubus Maximus,709000,62,181806369
UClqifC6Nd7v-IfTqce4k62A,Carry Depie,4200000,620,1993048506
UCdlvbGGgwfF97wlH7rC8Qng,VALORANT - Protatomonster,869000,2556,630625982
UCH__y98F7DyZaw_C3LdGu-A,Sena,204000,334,107107536
UC1NzF95Dk5tXCNdDFmyq9aQ,TheProfessional,1100000,4401,385849847
UClwmMyPudRYwIZENNEI1jXA,basicwitgirl,36900,1675,12159516
UCj6VzbJdQ2kzP6KI9zx-PKA,The Baltic House,47500,119,61211289
UCbmMXRpsJk9CRq5FBwVRy8A,Capix Gaming,8210,544,3578771
UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,16000000,2322,5712453399
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,56400000,173,10844189606
UCEDEmnX_g9R2ig7ijQiSJjQ,Valorant Curios,536000,1524,315811758
UCU102xKJHKaNi_Y61N1J_pQ,RAWTEX.,50700,207,11228401
UCxFYJYPdSCrVSWvwaGnvP1Q,Rawzu,505000,230,152045343
UC2gufCjSyNihNbOEZE50bwQ,JudeLow,1690000,379,714787006
UCRO7Xnr9c24-3LZCKt9YVtg,Leonida Man,18000,122,2671941
UC_GQ4mac4oN3wl1UdbFuTEA,ibxtoycat,1940000,8032,896835858
UCUU3GdGuQshZFRGnxAPBf_w,TD BRICKS,9830000,635,4221097607
UC5HCO9Q7Y5ZETGhWjaI3zng,GTA Insights,21500,988,24325539
UCASPsfmVJkEsWoBY28dYaeQ,#StruggleNation,619000,4623,274554703
UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,10800000,1449,3374520676
UC6kzCmAD7A4xB-d4OeKMF1A,temet,400000,706,383566557
UCQZcVIkFybF4uCYpoQgz8JA,THE GUIDE - Valorant,40200,156,10877995
UCiQedkgBDYadwL2M8Rv15tQ,RIDE CRAFTS ,48800,77,7234749
UCWgv_XRItQFuawUzGjhvgIA,Project Vice  ,17800,732,5749433
UC8XdBwnkjD1YcPSGKvYu1nQ,Yopex,64900,9,5504636
UCRjFM5K8Bxpb97avJYUtoNA,NAMNAM TV,125000,192,23051176
UCwRohIVTsUkC23qRZVBbS0g,PlataBush,11500000,422,2739519050
UC7sEg9Mx7uLPxd9uMYffz8A,Firegamer Series,2650,260,763942
UCvmYNKTAPC8O5l3BFU_cHog,jeyson,940,11,182637
UC-3YVzX5LZ6QHFnv_CmAHAA,SD1ONE,738000,794,262385376
UCNvzD7Z-g64bPXxGzaQaa4g,gameranx,8590000,4719,4435159353
UC_NPYwW-l68Wf0Yv23mqCHg,dessirous,52500,211,10126700
UCZcbsHodaVfXC08LkGJXXCQ,Jaeky,108000,1466,59355883
UCvAgY9tXusm0TWLK5VCamYA,Fuzion Xbox Testing,41300,6879,22786508
UCD7mDMmOXmmafGt8xNvir5A,Aimstars,23000,18,1750458
UCke6I9N4KfC968-yRcd5YRg,SSundee,25400000,3723,17081163544
UCvqPekA_2MX3ZbAcqI4SwpQ,TCMFGamesOFFICIAL,118000,1510,45815093
UClVPihc-qy7on0hGMsc0_hw,EnchantedMob,4390000,177,1792823036
UC5SpBTQZpK78PARszVDr8Rw,Maizen Family,400000,670,115010229
UCpHCfDBZ3AJyuofz6DHy-ew,Dash,1720000,1494,989245687
UCRXzc80_vVipkQmQflf_T1g,VICE Vault,1220,34,187537
UCoAdB1kEFR1KDGw0gXPMV1w,Maxie,106000,189,15088003
UCv1zbx03PIvqG8cHNpWWWUw,Konpeki,297000,690,108713045
UCV6Z7q3Zz-VbXCUW9AkqAFg,Cinna LIVE,259000,971,550837059
UCdTdEK-YXkcKTYwqkPotk5w,Prabz,215000,72,72814980
UC6VxAe8_mV_aPL64mrdRF0Q,Awesome Genome,862000,920,350899485
UCEcKUTiD--VYNW9cNXhQPSA,Mr. KK - GNS,171000,322,20895316
UCLUhFaL7777arzsOr_rEi9w,Rexxy FPS,15300,92,1930500
UCVXv-s3F4oQ9t1ui88j9FQg,GTA6Videos,319000,1098,159652852
UC5Gmxh_XAmHvHOFW7T5FwrA,Kevvv FPS,50800,622,22018811
UC9A2LGWV1I5RtrVceLbTt2A,Vainsz,815000,1009,277215357
UCWVSknuLPIRVGWf-4bFKT4Q,Johnny Minecraft,4630000,849,894485063
UCSgkg1FWPfL7blqg0Juw6Dw,RaHul iS liT,1200000,455,266857490
UCvFZ9uaIMy2B-3fU3IxWRCA,lunly,77000,820,25824527
UCgiZs0J_0KaxmdccCUJuYdg,SKizzle,390000,6538,176134388
UCgkF_1YL8_QOjeLzUegmczw,Alexander,73300,44,9198946
UCbLodBs8QZo5DAoiXXvi_iQ,GTA Central,128000,419,10271607
UCAhhv08L1xL7xfcrA2WUU7w,Bachus,215000,2708,96462457
UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,19600000,887,4696418498
